datetime,baller_id,image,price,combo,rarity,skill,team,role,timestamp,time,buyer,seller,transaction_id
2022-01-07 03:49:07+00:00,4699,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4659.png,1498.0,4907,1727,8370,San Jose Sirens,Player,1641527347,28 minutes ago,0xbdbf3d5fbb61d1fc,0xfd130bf5c3cd41e5,07db572f28e247035651b5397477a68d731a618d88183007de50f7fb636d64cc
2022-01-07 03:08:11+00:00,9477,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5484.png,2800.0,4754,1655,8324,San Jose Sirens,Player,1641524891,an hour ago,0x75e8e1db44c0ff26,0x74c1c57382f89899,8f6bf10a2c1a6e124189925b125497528ccc537e51d21da9389df91c434002a1
2022-01-07 02:51:02+00:00,6610,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5527.png,1799.0,6143,3109,8234,New Jersey Scientists,Player,1641523862,an hour ago,0xd40223e443eac726,0x5366751a7f7b6ba4,0d1e593e35884c4153e3d6cab65a7ac47e340f9207a41b4e089a7890e34fd07b
2022-01-07 01:47:13+00:00,5063,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6935.png,2999.0,1181,2234,1345,Delaware Horsemen,Player,1641520033,54 minutes ago,0xece932f0d2aa8006,0x84fee28a43181dae,17abac06103dc149f9b742ab104d0d18102b27a0192aa4d7438e667b58b8b083
2022-01-07 01:31:51+00:00,3703,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8838.png,1649.0,5899,2752,8262,Iowa City Rattlesnakes,Player,1641519111,4 minutes ago,0x5a872e8caa1f2307,0x75d9468cda4d8a72,07198daba0a9d2799234d590746a6005684a2e42f3509aaf2f375d7baa146314
2022-01-07 01:31:03+00:00,6233,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3497.png,6666.0,256,199,2712,Salt Lake City Souls,Player,1641519063,5 minutes ago,0xbeacd31201c92e0e,0x8331624e41d09411,669c9785112cefc088cc0c7c4d6e5bf7cac2d1d8dc998c895c905bcd7ba87aa1
2022-01-07 01:12:20+00:00,2039,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1482.png,1600.0,5689,6614,3868,Tallahassee Tarantulas,Player,1641517940,23 minutes ago,0x75e8e1db44c0ff26,0x6f2927c75d94996a,95d70ba33b2e1961be676ffd68be8de7f7d4c0197ef4601c095749cf9cd76400
2022-01-07 00:40:14+00:00,653,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/653.png,1785.0,3597,5658,2041,Tallahassee Tarantulas,Player,1641516014,55 minutes ago,0x75e8e1db44c0ff26,0xbc18f22de00f4ca5,56341260f1eee7afa823db04add40b01f973033e75c9e57be459e9bd563dbca9
2022-01-07 00:34:23+00:00,8357,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3691.png,1499.0,7557,9640,3060,New York Torches,Player,1641515663,an hour ago,0x80edbacb2347dd04,0xfd130bf5c3cd41e5,0ee75c16abba8e50c9f8c7628a005682cebd5b29cd0407b389670de0b740f87b
2022-01-07 00:00:13+00:00,1337,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2124.png,1400.0,8412,5906,8367,Charlotte Clovers,Player,1641513613,an hour ago,0x75e8e1db44c0ff26,0xcb212bd1274af76a,288a0d2689954dedc132f5fd5b6d25a3aaf29b41e4b7b58a59bb1f015de61bb8
