datetime,baller_id,image,price,combo,rarity,skill,team,role,timestamp,time,seller,transaction_id
2021-12-30 07:16:02+00:00,8631,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3099.png,5555.0,1866,2863,2100,New Jersey Scientists,Player,1640848562,12 minutes ago,0x3e40591d5522a4f1,c76b6d42d68255c58b9cbc81fdc3cb1544e5d15da87d9ee9bcefdd70c442efed
2021-12-30 07:14:05+00:00,2850,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9631.png,107777.0,971,1210,2066,Dallas Pythons,Player,1640848445,14 minutes ago,0xe4db9c640c6e50ba,a819e19a8006044a06a6533ae2607fcc3d5ee4c4935dd95eafd3dc0fc6a7a44a
2021-12-30 07:13:49+00:00,1329,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2255.png,3999.99,6355,8925,2642,Omaha Bullsnakes,Player,1640848429,14 minutes ago,0x37a85e3097ebc9fa,370ef1696b7ef80bac2e2ebd8c89ff83df69cc81677e2832bf68e0db7481aef8
2021-12-30 07:11:58+00:00,6414,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9090.png,4444.0,897,885,2374,Michigan Colliders,Player,1640848318,16 minutes ago,0x3e40591d5522a4f1,5f0cde0775bf525d1dbc2ad1b9689ed0f44cea3a17a783ce53654441cd54cd2c
2021-12-30 07:11:28+00:00,5223,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7463.png,2399.0,5677,2692,8099,Chicago Squid,Player,1640848288,17 minutes ago,0x84fee28a43181dae,0f5344103a752f5b89f43de2f7ea6bda594a98f98b4bac443c47f26ae23af8cb
2021-12-30 07:11:12+00:00,2850,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9631.png,97979.0,971,1210,2066,Dallas Pythons,Player,1640848272,17 minutes ago,0xe4db9c640c6e50ba,b7bbcb185f89844151cc8cc959dc4d07ef27322829f09a1995255aa0acacfc02
2021-12-30 07:09:10+00:00,1341,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2172.png,4500.0,3060,6944,1155,Delaware Horsemen,Player,1640848150,19 minutes ago,0xedc9cec2d60b1c1a,2a7e54ecabbf93be6b4c23976154680c6d70cb3f3933c0ce409b14f65d2d5e0d
2021-12-30 07:08:17+00:00,9172,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8410.png,3500.0,8184,6237,7798,San Diego Keepers,Player,1640848097,20 minutes ago,0xbdbf3d5fbb61d1fc,cde34272ad23d8c24a1c3dfcb9051419d031f6a1669f6a6b063fffee2179d1c1
2021-12-30 07:04:11+00:00,7145,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8590.png,2250.0,6327,7515,4139,New Orleans Giants,Player,1640847851,24 minutes ago,0x3a3557c80cf3cd01,11d64934bd2bd0852c710932abc84028a9f5628908d0d8e689a6db701383b894
2021-12-30 07:04:11+00:00,6662,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7737.png,5555.0,1212,5786,299,New Orleans Giants,Player,1640847851,24 minutes ago,0x5366751a7f7b6ba4,475b28d25b4739076b3989b3cbadc35cfdce573fd7899d6dbd6c861fa578ef41
2021-12-30 07:02:51+00:00,7481,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8956.png,2999.0,6173,712,9803,Wisconsin Dragons,Player,1640847771,26 minutes ago,0x66ee6474a5fb6bca,d7a32d09212eb7ccfde0be288cefdab82dbf711b975196a21be991ad0a3fd819
2021-12-30 06:52:33+00:00,4426,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7612.png,27500.0,2386,6231,873,Pennsylvania Fangs,Player,1640847153,36 minutes ago,0xe4db9c640c6e50ba,685fbb63968fdee6c68928bb0787f3c329fc712e51067d68ac723253e7a4fbd0
2021-12-30 06:51:15+00:00,3229,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5034.png,6000.0,8221,7822,6835,New Orleans Giants,Player,1640847075,37 minutes ago,0x21cf378f179c4d96,3726e353d226d2b09357346b7016034c2e3f3b694236f8de5766f733bbd51f9c
